perf,Performance,e,d,nm,norm,bs,seed
"[0.0915, 0.0991, 0.1907, 0.2651, 0.1755, 0.33, 0.3799, 0.2066, 0.3896, 0.3934, 0.4111, 0.4616, 0.5222, 0.5519, 0.5712]",0.5484,BoundedPareto-0-StrongForAll,0.001,9.74,1.0,143,44
"[0.1392, 0.0991, 0.1845, 0.331, 0.1814, 0.4137, 0.4981, 0.2488, 0.4716, 0.4728, 0.5615, 0.5433, 0.6399, 0.6575, 0.6633]",0.6536,BoundedPareto-0-Dropout,0.001,9.74,1.0,114,44
"[0.1566, 0.2742, 0.3366, 0.5822, 0.456, 0.7554, 0.6937, 0.4547, 0.6842, 0.7183, 0.7975, 0.7354, 0.7889, 0.8124, 0.8192]",0.8068,BoundedMixGauss-0-Ours,0.001,9.74,1.0,432,44
"[0.0915, 0.0991, 0.1907, 0.2651, 0.1755, 0.33, 0.3799, 0.2066, 0.3896, 0.3934, 0.4111, 0.4616, 0.5222, 0.5519, 0.5712]",0.5484,BoundedMixGauss-0-StrongForAll,0.001,9.74,1.0,143,44
"[0.1396, 0.0991, 0.1981, 0.3864, 0.2135, 0.5019, 0.5853, 0.3123, 0.5834, 0.5919, 0.6802, 0.6097, 0.7121, 0.7333, 0.723]",0.7228,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,172,44
"[0.1201, 0.4077, 0.5329, 0.4323, 0.6409, 0.7154, 0.8627, 0.771, 0.696, 0.6965, 0.7976, 0.8785, 0.8917, 0.854, 0.8768]",0.8742,PrivacyFree,,,,128,45
"[0.1506, 0.283, 0.3284, 0.5016, 0.505, 0.6267, 0.7983, 0.7557, 0.5691, 0.528, 0.6534, 0.8059, 0.8168, 0.7425, 0.7339]",0.7644,ThreeLevels-0-Ours,0.001,9.74,1.0,421,45
"[0.1147, 0.1231, 0.1144, 0.1037, 0.0992, 0.1813, 0.3744, 0.3419, 0.3196, 0.2627, 0.3611, 0.4747, 0.5217, 0.5149, 0.5726]",0.5364,ThreeLevels-0-StrongForAll,0.001,9.74,1.0,143,45
"[0.1238, 0.153, 0.1049, 0.2734, 0.3165, 0.4984, 0.5837, 0.6557, 0.4712, 0.3959, 0.5274, 0.7025, 0.7369, 0.6593, 0.662]",0.6861,ThreeLevels-0-Dropout,0.001,9.74,1.0,172,45
"[0.1452, 0.1396, 0.2073, 0.4335, 0.4397, 0.5742, 0.7365, 0.7379, 0.5174, 0.4687, 0.5865, 0.7549, 0.7822, 0.7243, 0.7263]",0.7443,BoundedPareto-0-Ours,0.001,9.74,1.0,287,45
