perf,Performance,e,d,nm,norm,bs,seed
"[0.1223, 0.1084, 0.0948, 0.2324, 0.0938, 0.2353, 0.3052, 0.2401, 0.3509, 0.4129, 0.4009, 0.4326, 0.437, 0.3972, 0.4746]",0.4363,BoundedPareto-0-StrongForAll,0.001,15,1.0,139,44
"[0.1394, 0.1092, 0.0982, 0.2539, 0.094, 0.3086, 0.4248, 0.3565, 0.4532, 0.4761, 0.5341, 0.5332, 0.5084, 0.4903, 0.5516]",0.5168,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,44
"[0.1036, 0.2298, 0.4274, 0.5841, 0.2881, 0.6338, 0.6411, 0.5655, 0.6993, 0.6286, 0.7243, 0.6963, 0.7123, 0.6191, 0.6985]",0.6766,BoundedMixGauss-0-Ours,0.001,9.74,1.0,446,44
"[0.1223, 0.1084, 0.0948, 0.2324, 0.0938, 0.2353, 0.3052, 0.2401, 0.3509, 0.4129, 0.4009, 0.4326, 0.437, 0.3972, 0.4746]",0.4363,BoundedMixGauss-0-StrongForAll,0.001,15,1.0,139,44
"[0.1349, 0.1151, 0.1167, 0.2661, 0.1154, 0.4315, 0.4996, 0.481, 0.5593, 0.5293, 0.6259, 0.5797, 0.5808, 0.5491, 0.6161]",0.582,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,173,44
"[0.3347, 0.329, 0.5448, 0.5615, 0.7764, 0.7447, 0.8443, 0.7688, 0.7106, 0.715, 0.8206, 0.8887, 0.91, 0.8204, 0.8961]",0.8755,PrivacyFree,,,,128,45
"[0.2562, 0.1751, 0.5404, 0.4852, 0.5962, 0.6064, 0.734, 0.5739, 0.5751, 0.5273, 0.5802, 0.7937, 0.8069, 0.6324, 0.8052]",0.7482,ThreeLevels-0-Ours,0.001,9.74,1.0,432,45
"[0.1006, 0.1262, 0.1138, 0.1959, 0.1587, 0.2973, 0.384, 0.1507, 0.3158, 0.2383, 0.3408, 0.5433, 0.5033, 0.3838, 0.538]",0.475,ThreeLevels-0-StrongForAll,0.001,15,1.0,139,45
"[0.1282, 0.0938, 0.1434, 0.2778, 0.2416, 0.3878, 0.5866, 0.4127, 0.4496, 0.4332, 0.4682, 0.7413, 0.716, 0.4918, 0.6873]",0.6317,ThreeLevels-0-Dropout,0.001,9.74,1.0,173,45
"[0.1006, 0.1262, 0.1138, 0.1959, 0.1587, 0.2973, 0.384, 0.1507, 0.3158, 0.2383, 0.3408, 0.5433, 0.5033, 0.3838, 0.538]",0.475,BoundedPareto-0-StrongForAll,0.001,15,1.0,139,45
"[0.1073, 0.0976, 0.1481, 0.2285, 0.1745, 0.3307, 0.4774, 0.2356, 0.3808, 0.3634, 0.4206, 0.6423, 0.6308, 0.4695, 0.6268]",0.5757,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,45
"[0.2545, 0.1851, 0.487, 0.458, 0.5928, 0.5987, 0.7273, 0.582, 0.5789, 0.4958, 0.584, 0.7934, 0.8155, 0.659, 0.8129]",0.7625,BoundedMixGauss-0-Ours,0.001,9.74,1.0,422,45
"[0.1006, 0.1262, 0.1138, 0.1959, 0.1587, 0.2973, 0.384, 0.1507, 0.3158, 0.2383, 0.3408, 0.5433, 0.5033, 0.3838, 0.538]",0.475,BoundedMixGauss-0-StrongForAll,0.001,15,1.0,139,45
"[0.1324, 0.0939, 0.1462, 0.2582, 0.2606, 0.3931, 0.5863, 0.4242, 0.4545, 0.429, 0.4643, 0.7233, 0.7043, 0.4923, 0.693]",0.6299,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,45
"[0.19, 0.2774, 0.53, 0.4709, 0.7497, 0.7965, 0.8426, 0.8013, 0.7837, 0.8587, 0.9034, 0.8375, 0.8972, 0.8708, 0.8758]",0.8813,PrivacyFree,,,,128,46
"[0.1195, 0.2381, 0.3662, 0.3995, 0.5083, 0.6291, 0.5937, 0.6079, 0.6772, 0.6763, 0.7948, 0.7387, 0.8031, 0.8037, 0.7192]",0.7753,ThreeLevels-0-Ours,0.001,9.74,1.0,432,46
"[0.1029, 0.1014, 0.1454, 0.1429, 0.1811, 0.2147, 0.198, 0.1971, 0.3329, 0.3409, 0.4204, 0.4878, 0.497, 0.5622, 0.4654]",0.5082,ThreeLevels-0-StrongForAll,0.001,15,1.0,139,46
"[0.1146, 0.1014, 0.2421, 0.2637, 0.361, 0.345, 0.3087, 0.3895, 0.4878, 0.5221, 0.625, 0.6203, 0.7016, 0.7216, 0.62]",0.6811,ThreeLevels-0-Dropout,0.001,9.74,1.0,173,46
"[0.1223, 0.1151, 0.3044, 0.3412, 0.4799, 0.5361, 0.5737, 0.4897, 0.6276, 0.6242, 0.7439, 0.7247, 0.7792, 0.7709, 0.6851]",0.7451,BoundedPareto-0-Ours,0.001,9.74,1.0,293,46
"[0.1029, 0.1014, 0.1454, 0.1429, 0.1811, 0.2147, 0.198, 0.1971, 0.3329, 0.3409, 0.4204, 0.4878, 0.497, 0.5622, 0.4654]",0.5082,BoundedPareto-0-StrongForAll,0.001,15,1.0,139,46
"[0.1032, 0.1014, 0.145, 0.2189, 0.2671, 0.2966, 0.2786, 0.2917, 0.3897, 0.4065, 0.5122, 0.537, 0.599, 0.6183, 0.5265]",0.5813,BoundedPareto-0-Dropout,0.001,9.74,1.0,117,46
"[0.1437, 0.2239, 0.3707, 0.3873, 0.5208, 0.6233, 0.6017, 0.5737, 0.6865, 0.6683, 0.7941, 0.7565, 0.8058, 0.8013, 0.713]",0.7734,BoundedMixGauss-0-Ours,0.001,9.74,1.0,410,46
"[0.1029, 0.1014, 0.1454, 0.1429, 0.1811, 0.2147, 0.198, 0.1971, 0.3329, 0.3409, 0.4204, 0.4878, 0.497, 0.5622, 0.4654]",0.5082,BoundedMixGauss-0-StrongForAll,0.001,15,1.0,139,46
"[0.1121, 0.1014, 0.2283, 0.2221, 0.3376, 0.3884, 0.3444, 0.3888, 0.4835, 0.5157, 0.6252, 0.6425, 0.7012, 0.7121, 0.6132]",0.6755,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,168,46
