perf,Performance,e,d,nm,norm,bs,seed
"[0.1364, 0.0859, 0.2509, 0.2501, 0.3054, 0.4322, 0.485, 0.4734, 0.5889, 0.5168, 0.5566, 0.6, 0.6499, 0.6587, 0.6832]",0.6639,BoundedPareto-0-StrongForAll,0.001,13.75,1.0128,44
"[0.1702, 0.1255, 0.33, 0.4024, 0.4436, 0.5851, 0.6123, 0.6496, 0.6888, 0.6302, 0.7124, 0.7052, 0.7358, 0.7322, 0.7594]",0.7425,BoundedPareto-0-Dropout,0.001,9.74,1.0,121,44
"[0.3039, 0.6602, 0.804, 0.8553, 0.8399, 0.8668, 0.8769, 0.8684, 0.8741, 0.8648, 0.8721, 0.8719, 0.882, 0.8772, 0.8875]",0.8822,BoundedMixGauss-0-Ours,0.001,9.74,1.0,447,44
"[0.1364, 0.0859, 0.2509, 0.2501, 0.3054, 0.4322, 0.485, 0.4734, 0.5889, 0.5168, 0.5566, 0.6, 0.6499, 0.6587, 0.6832]",0.6639,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0128,44
"[0.1682, 0.2186, 0.4531, 0.5817, 0.6573, 0.7197, 0.7282, 0.7469, 0.7859, 0.757, 0.7948, 0.7822, 0.7886, 0.7853, 0.8174]",0.7971,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,179,44
"[0.4827, 0.8514, 0.8902, 0.9054, 0.9112, 0.9184, 0.9272, 0.928, 0.9227, 0.927, 0.9316, 0.9371, 0.9373, 0.9373, 0.9382]",0.9376,PrivacyFree,,,,128,45
"[0.2196, 0.6651, 0.7555, 0.8147, 0.8232, 0.8433, 0.8597, 0.8534, 0.8505, 0.8526, 0.8692, 0.8839, 0.882, 0.8791, 0.8654]",0.8755,ThreeLevels-0-Ours,0.001,9.74,1.0,435,45
"[0.1692, 0.1375, 0.2927, 0.3565, 0.3418, 0.3989, 0.4805, 0.4729, 0.5314, 0.5577, 0.6577, 0.6762, 0.7, 0.6617, 0.683]",0.6816,ThreeLevels-0-StrongForAll,0.001,13.75,1.0128,45
"[0.1793, 0.1924, 0.4962, 0.5718, 0.6029, 0.6932, 0.7351, 0.7298, 0.7448, 0.7695, 0.7958, 0.8075, 0.8229, 0.8072, 0.8041]",0.8114,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,45
"[0.1645, 0.4881, 0.581, 0.7271, 0.7588, 0.7922, 0.8175, 0.8229, 0.8252, 0.8244, 0.8438, 0.8569, 0.8624, 0.8578, 0.8406]",0.8536,BoundedPareto-0-Ours,0.001,9.74,1.0,297,45
"[0.1692, 0.1375, 0.2927, 0.3565, 0.3418, 0.3989, 0.4805, 0.4729, 0.5314, 0.5577, 0.6577, 0.6762, 0.7, 0.6617, 0.683]",0.6816,BoundedPareto-0-StrongForAll,0.001,13.75,1.0128,45
"[0.1773, 0.1887, 0.3074, 0.4479, 0.4256, 0.5147, 0.5817, 0.5936, 0.635, 0.69, 0.7335, 0.7457, 0.7538, 0.7319, 0.7325]",0.7394,BoundedPareto-0-Dropout,0.001,9.74,1.0,119,45
"[0.2098, 0.6099, 0.7626, 0.8218, 0.8299, 0.8442, 0.8643, 0.8575, 0.8608, 0.8504, 0.8687, 0.8857, 0.8872, 0.8837, 0.8733]",0.8814,BoundedMixGauss-0-Ours,0.001,9.74,1.0,459,45
"[0.1692, 0.1375, 0.2927, 0.3565, 0.3418, 0.3989, 0.4805, 0.4729, 0.5314, 0.5577, 0.6577, 0.6762, 0.7, 0.6617, 0.683]",0.6816,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0128,45
"[0.1842, 0.2373, 0.4994, 0.5875, 0.6234, 0.698, 0.725, 0.732, 0.753, 0.786, 0.8023, 0.8103, 0.8299, 0.8113, 0.8101]",0.8171,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,179,45
"[0.3602, 0.8402, 0.9019, 0.9138, 0.925, 0.9324, 0.9335, 0.93, 0.9389, 0.9386, 0.942, 0.9441, 0.9431, 0.9428, 0.9431]",0.943,PrivacyFree,,,,128,46
"[0.2886, 0.4814, 0.6911, 0.8056, 0.8307, 0.85, 0.8698, 0.8588, 0.8765, 0.8717, 0.8959, 0.8944, 0.8931, 0.8911, 0.8972]",0.8938,ThreeLevels-0-Ours,0.001,9.74,1.0,435,46
"[0.1478, 0.1235, 0.1685, 0.2164, 0.3437, 0.3796, 0.4389, 0.4024, 0.5053, 0.5393, 0.6081, 0.6087, 0.6585, 0.6717, 0.6887]",0.673,ThreeLevels-0-StrongForAll,0.001,13.75,1.0128,46
"[0.1928, 0.2059, 0.3953, 0.4878, 0.5771, 0.6558, 0.7324, 0.7357, 0.7745, 0.7646, 0.8207, 0.8297, 0.8151, 0.8289, 0.8349]",0.8263,ThreeLevels-0-Dropout,0.001,9.74,1.0,175,46
"[0.2674, 0.3406, 0.5265, 0.7114, 0.7732, 0.81, 0.827, 0.8271, 0.8437, 0.8446, 0.8771, 0.8796, 0.8747, 0.8726, 0.8811]",0.8761,BoundedPareto-0-Ours,0.001,9.74,1.0,294,46
"[0.1478, 0.1235, 0.1685, 0.2164, 0.3437, 0.3796, 0.4389, 0.4024, 0.5053, 0.5393, 0.6081, 0.6087, 0.6585, 0.6717, 0.6887]",0.673,BoundedPareto-0-StrongForAll,0.001,13.75,1.0128,46
"[0.1631, 0.156, 0.2996, 0.3201, 0.434, 0.5066, 0.5679, 0.5665, 0.6254, 0.622, 0.7099, 0.7299, 0.7498, 0.7599, 0.7768]",0.7622,BoundedPareto-0-Dropout,0.001,9.74,1.0,118,46
"[0.2511, 0.4817, 0.6672, 0.7958, 0.8285, 0.8563, 0.8652, 0.8663, 0.8785, 0.8801, 0.8985, 0.895, 0.8957, 0.8916, 0.8986]",0.8953,BoundedMixGauss-0-Ours,0.001,9.74,1.0,444,46
"[0.1478, 0.1235, 0.1685, 0.2164, 0.3437, 0.3796, 0.4389, 0.4024, 0.5053, 0.5393, 0.6081, 0.6087, 0.6585, 0.6717, 0.6887]",0.673,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0128,46
"[0.1659, 0.2077, 0.385, 0.4848, 0.5499, 0.6463, 0.7182, 0.7349, 0.7687, 0.7659, 0.8173, 0.8262, 0.8233, 0.8308, 0.8369]",0.8303,BoundedMixGauss-0-Dropout,0.001,9.74,1.0,175,46

