perf,Performance,e,d,nm,norm,bs,seed
"[0.6159, 0.8754, 0.9067, 0.9145, 0.9258, 0.9247, 0.9333, 0.9362, 0.9322, 0.9392, 0.94, 0.9373, 0.9395, 0.944, 0.9428]",0.9421,PrivacyFree,,,,128,42
"[0.1175, 0.6894, 0.814, 0.8073, 0.8562, 0.8614, 0.8697, 0.8783, 0.8815, 0.866, 0.881, 0.8765, 0.8869, 0.8832, 0.8925]",0.8875,ThreeLevels-0-Ours,0.001,13.75,1.0,692,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1621, 0.3127, 0.4665, 0.4987, 0.6024, 0.6781, 0.7257, 0.7514, 0.7837, 0.779, 0.7991, 0.7839, 0.8068, 0.8086, 0.8205]",0.812,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,42
"[0.1111, 0.5258, 0.6876, 0.7297, 0.8045, 0.8283, 0.8422, 0.8499, 0.8525, 0.8463, 0.8625, 0.8483, 0.8708, 0.8612, 0.8713]",0.8678,BoundedPareto-0-Ours,0.001,13.75,1.0,47,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1718, 0.2377, 0.3017, 0.3438, 0.4705, 0.5376, 0.6148, 0.6534, 0.7116, 0.7138, 0.7238, 0.699, 0.7416, 0.7512, 0.7515]",0.7481,BoundedPareto-0-Dropout,0.001,13.75,1.0,111,42
"[0.1936, 0.6806, 0.8119, 0.8137, 0.864, 0.8707, 0.8789, 0.8828, 0.887, 0.8694, 0.8867, 0.883, 0.8914, 0.8875, 0.8962]",0.8917,BoundedMixGauss-0-Ours,0.001,13.75,1.0,407,42
"[0.1484, 0.2005, 0.2221, 0.233, 0.3526, 0.4832, 0.5139, 0.5414, 0.5991, 0.6113, 0.631, 0.5835, 0.6439, 0.6648, 0.6586]",0.6558,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,42
"[0.1616, 0.3279, 0.4298, 0.5096, 0.6156, 0.6965, 0.7359, 0.7618, 0.8016, 0.7955, 0.812, 0.7947, 0.818, 0.8195, 0.8212]",0.8196,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,162,42
"[0.4547, 0.8698, 0.9076, 0.9251, 0.9277, 0.9303, 0.9385, 0.9291, 0.9403, 0.9412, 0.9417, 0.9354, 0.943, 0.9375, 0.9443]",0.9416,PrivacyFree,,,,128,43
"[0.2646, 0.6019, 0.7413, 0.819, 0.8463, 0.8357, 0.8766, 0.8726, 0.8811, 0.8825, 0.886, 0.8789, 0.8894, 0.8889, 0.8927]",0.8903,ThreeLevels-0-Ours,0.001,13.75,1.0,692,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.1182, 0.415, 0.5159, 0.5532, 0.6026, 0.6689, 0.748, 0.7649, 0.7651, 0.7912, 0.7961, 0.7921, 0.8196, 0.7965, 0.8218]",0.8126,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,43
"[0.2079, 0.516, 0.6466, 0.7424, 0.7702, 0.791, 0.8363, 0.8317, 0.8517, 0.853, 0.8576, 0.843, 0.866, 0.8587, 0.8688]",0.8645,BoundedPareto-0-Ours,0.001,13.75,1.0,42,43
"[0.0876, 0.1967, 0.3062, 0.302, 0.4541, 0.485, 0.5158, 0.5429, 0.5541, 0.6062, 0.6315, 0.6136, 0.6877, 0.6682, 0.7241]",0.6933,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,43
"[0.0903, 0.2701, 0.3679, 0.3911, 0.5116, 0.549, 0.6156, 0.6645, 0.665, 0.716, 0.7423, 0.7239, 0.7696, 0.7512, 0.7919]",0.7709,BoundedPareto-0-Dropout,0.001,13.75,1.0,112,43
"[0.3202, 0.6154, 0.7447, 0.8017, 0.8459, 0.8335, 0.8796, 0.8763, 0.8856, 0.8839, 0.8899, 0.8789, 0.8955, 0.89, 0.8943]",0.8933,BoundedMixGauss-0-Ours,0.001,13.75,1.0,421,43
