perf,Performance,e,d,nm,norm,bs,seed
"[0.1227, 0.1763, 0.2394, 0.361, 0.4199, 0.4901, 0.5583, 0.578, 0.5747, 0.558, 0.6195, 0.62, 0.6516, 0.6465, 0.6787]",0.6589,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1102, 0.2087, 0.3171, 0.4479, 0.5331, 0.5539, 0.6548, 0.6529, 0.6499, 0.6448, 0.6925, 0.6847, 0.6953, 0.6907, 0.7285]",0.7048,BoundedPareto-0-Dropout,0.001,13.75,1.0,114,44
"[0.2202, 0.335, 0.5118, 0.6388, 0.6867, 0.7465, 0.8018, 0.7885, 0.7756, 0.755, 0.7957, 0.8009, 0.8052, 0.7781, 0.8026]",0.7953,BoundedMixGauss-0-Ours,0.001,13.75,1.0,398,44
"[0.1227, 0.1763, 0.2394, 0.361, 0.4199, 0.4901, 0.5583, 0.578, 0.5747, 0.558, 0.6195, 0.62, 0.6516, 0.6465, 0.6787]",0.6589,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,44
"[0.1383, 0.3276, 0.4922, 0.5926, 0.6269, 0.7192, 0.7815, 0.7646, 0.7584, 0.7423, 0.7844, 0.7841, 0.7895, 0.7768, 0.806]",0.7908,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,169,44
"[0.4827, 0.8514, 0.8902, 0.9054, 0.9112, 0.9184, 0.9272, 0.928, 0.9227, 0.927, 0.9316, 0.9371, 0.9373, 0.9373, 0.9382]",0.9376,PrivacyFree,,,,128,45
"[0.1548, 0.2035, 0.2597, 0.2786, 0.4106, 0.3955, 0.4184, 0.3926, 0.396, 0.4204, 0.4192, 0.4573, 0.4981, 0.4663, 0.4829]",0.4824,ThreeLevels-0-Ours,0.001,13.75,1.0,692,45
"[0.1725, 0.2469, 0.2871, 0.35, 0.4846, 0.4687, 0.483, 0.5047, 0.5101, 0.5505, 0.5726, 0.6274, 0.656, 0.6413, 0.6304]",0.6426,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.2089, 0.3958, 0.4908, 0.5652, 0.6577, 0.6692, 0.7287, 0.7669, 0.7774, 0.7856, 0.7748, 0.8138, 0.8252, 0.8083, 0.8101]",0.8145,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,45
"[0.2445, 0.4475, 0.5572, 0.6327, 0.7195, 0.7341, 0.7769, 0.8037, 0.8033, 0.8167, 0.8044, 0.8402, 0.8493, 0.8384, 0.833]",0.8402,BoundedPareto-0-Ours,0.001,13.75,1.0,36,45
"[0.1725, 0.2469, 0.2871, 0.35, 0.4846, 0.4687, 0.483, 0.5047, 0.5101, 0.5505, 0.5726, 0.6274, 0.656, 0.6413, 0.6304]",0.6426,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.1845, 0.2725, 0.3352, 0.4043, 0.5119, 0.5009, 0.5646, 0.6119, 0.6266, 0.678, 0.681, 0.7213, 0.7423, 0.7352, 0.7179]",0.7318,BoundedPareto-0-Dropout,0.001,13.75,1.0,113,45
"[0.2141, 0.3884, 0.4663, 0.602, 0.6816, 0.6783, 0.7571, 0.7851, 0.7912, 0.7986, 0.7881, 0.8208, 0.8318, 0.8227, 0.8245]",0.8263,BoundedMixGauss-0-Ours,0.001,13.75,1.0,398,45
"[0.1725, 0.2469, 0.2871, 0.35, 0.4846, 0.4687, 0.483, 0.5047, 0.5101, 0.5505, 0.5726, 0.6274, 0.656, 0.6413, 0.6304]",0.6426,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,45
"[0.2149, 0.4239, 0.4829, 0.5945, 0.6604, 0.6696, 0.747, 0.779, 0.7766, 0.7877, 0.7799, 0.817, 0.8259, 0.8095, 0.8138]",0.8164,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,173,45
"[0.3602, 0.8402, 0.9019, 0.9138, 0.925, 0.9324, 0.9335, 0.93, 0.9389, 0.9386, 0.942, 0.9441, 0.9431, 0.9428, 0.9431]",0.943,PrivacyFree,,,,128,46
"[0.1552, 0.1443, 0.2101, 0.2118, 0.2446, 0.4318, 0.3754, 0.4215, 0.429, 0.4982, 0.5174, 0.5268, 0.5346, 0.5932, 0.6089]",0.5789,ThreeLevels-0-Ours,0.001,13.75,1.0,692,46
"[0.1539, 0.1565, 0.299, 0.3371, 0.3144, 0.4815, 0.4557, 0.5311, 0.5575, 0.5583, 0.6161, 0.6072, 0.6415, 0.6781, 0.7009]",0.6735,ThreeLevels-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.2078, 0.2147, 0.4767, 0.5525, 0.5624, 0.6592, 0.7406, 0.7178, 0.7237, 0.7773, 0.7982, 0.8061, 0.831, 0.8252, 0.8402]",0.8321,ThreeLevels-0-Dropout,0.001,13.75,1.0,168,46
"[0.1799, 0.3296, 0.49, 0.5687, 0.6515, 0.7399, 0.7803, 0.7548, 0.788, 0.8113, 0.8346, 0.8413, 0.8571, 0.8553, 0.8624]",0.8583,BoundedPareto-0-Ours,0.001,13.75,1.0,42,46
"[0.1539, 0.1565, 0.299, 0.3371, 0.3144, 0.4815, 0.4557, 0.5311, 0.5575, 0.5583, 0.6161, 0.6072, 0.6415, 0.6781, 0.7009]",0.6735,BoundedPareto-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.1588, 0.1763, 0.3707, 0.3931, 0.3993, 0.4801, 0.5642, 0.6063, 0.6197, 0.6314, 0.6918, 0.6932, 0.7106, 0.7383, 0.758]",0.7356,BoundedPareto-0-Dropout,0.001,13.75,1.0,112,46
"[0.1946, 0.2762, 0.4876, 0.5174, 0.5988, 0.704, 0.7643, 0.7479, 0.7618, 0.7864, 0.8192, 0.8274, 0.8451, 0.8462, 0.8515]",0.8476,BoundedMixGauss-0-Ours,0.001,13.75,1.0,403,46
"[0.1539, 0.1565, 0.299, 0.3371, 0.3144, 0.4815, 0.4557, 0.5311, 0.5575, 0.5583, 0.6161, 0.6072, 0.6415, 0.6781, 0.7009]",0.6735,BoundedMixGauss-0-StrongForAll,0.001,13.75,1.0,128,46
"[0.2054, 0.2229, 0.4556, 0.5336, 0.5508, 0.6399, 0.7313, 0.7143, 0.7275, 0.759, 0.7978, 0.8122, 0.8359, 0.8293, 0.8357]",0.8336,BoundedMixGauss-0-Dropout,0.001,13.75,1.0,168,46
