timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-02-17 16:09,0.943,"[0.3602, 0.8402, 0.9019, 0.9138, 0.925, 0.9324, 0.9335, 0.93, 0.9389, 0.9386, 0.942, 0.9441, 0.9431, 0.9428, 0.9431]",5.0,0.001,0.84,1.0,128,0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-02-18 01:12,0.8813,"[0.19, 0.2774, 0.53, 0.4709, 0.7497, 0.7965, 0.8426, 0.8013, 0.7837, 0.8587, 0.9034, 0.8375, 0.8972, 0.8708, 0.8758]",5.0,0.001,0.88,1.0,128,0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-03-02 21:17,0.8705,"[0.1913, 0.1425, 0.5617, 0.7496, 0.7146, 0.823, 0.7947, 0.7759, 0.6954, 0.8452, 0.8781, 0.8027, 0.8855, 0.8833, 0.8426]",5.0,0.001,0.89,1.0,128,0.01,10,0.5
