timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-02-17 14:26,0.6931,"[0.103, 0.2447, 0.4464, 0.5733, 0.2844, 0.637, 0.6488, 0.5602, 0.6988, 0.6034, 0.7213, 0.6923, 0.7321, 0.6359, 0.7114]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[435, 435, 435, 435, 435, 435, 430, 394, 431, 404]",0.01,10,0.5
2025-02-17 14:28,0.4363,"[0.1223, 0.1084, 0.0948, 0.2324, 0.0938, 0.2353, 0.3052, 0.2401, 0.3509, 0.4129, 0.4009, 0.4326, 0.437, 0.3972, 0.4746]",ThreeLevels-0-StrongForAll(0.1),0.001,15.0,1.0,"[141, 141, 141, 141, 141, 141, 139, 128, 140, 131]",0.01,10,0.5
2025-02-17 14:30,0.5894,"[0.1474, 0.1274, 0.1295, 0.2573, 0.1201, 0.4208, 0.511, 0.4664, 0.5626, 0.5347, 0.645, 0.5886, 0.5938, 0.5542, 0.6202]",ThreeLevels-0-Dropout(0.7703994912205502),0.001,9.74,1.0,"[175, 175, 175, 175, 175, 175, 173, 158, 173, 162]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-02-17 14:33,0.6301,"[0.1054, 0.2078, 0.329, 0.4302, 0.2293, 0.5658, 0.5951, 0.5456, 0.6374, 0.5918, 0.6776, 0.6346, 0.6316, 0.5906, 0.6681]",BoundedPareto-0-Ours,0.001,9.74,1.0,"[295, 298, 289, 295, 296, 298, 288, 268, 298, 269]",0.01,10,0.5
2025-02-17 14:35,0.4363,"[0.1223, 0.1084, 0.0948, 0.2324, 0.0938, 0.2353, 0.3052, 0.2401, 0.3509, 0.4129, 0.4009, 0.4326, 0.437, 0.3972, 0.4746]",BoundedPareto-0-StrongForAll(0.1000032609050229),0.001,15.0,1.0,"[141, 141, 141, 141, 141, 141, 139, 128, 140, 131]",0.01,10,0.5
2025-02-17 14:37,0.5168,"[0.1394, 0.1092, 0.0982, 0.2539, 0.094, 0.3086, 0.4248, 0.3565, 0.4532, 0.4761, 0.5341, 0.5332, 0.5084, 0.4903, 0.5516]",BoundedPareto-0-Dropout(0.43426172634666055),0.001,9.74,1.0,"[123, 122, 118, 122, 120, 121, 117, 111, 122, 109]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-02-17 14:42,0.6766,"[0.1036, 0.2298, 0.4274, 0.5841, 0.2881, 0.6338, 0.6411, 0.5655, 0.6993, 0.6286, 0.7243, 0.6963, 0.7123, 0.6191, 0.6985]",BoundedMixGauss-0-Ours,0.001,9.74,1.0,"[442, 429, 432, 436, 430, 451, 438, 413, 458, 430]",0.01,10,0.5
2025-02-17 14:44,0.4363,"[0.1223, 0.1084, 0.0948, 0.2324, 0.0938, 0.2353, 0.3052, 0.2401, 0.3509, 0.4129, 0.4009, 0.4326, 0.437, 0.3972, 0.4746]",BoundedMixGauss-0-StrongForAll(0.1),0.001,15.0,1.0,"[141, 141, 141, 141, 141, 141, 139, 128, 140, 131]",0.01,10,0.5
2025-02-17 14:46,0.582,"[0.1349, 0.1151, 0.1167, 0.2661, 0.1154, 0.4315, 0.4996, 0.481, 0.5593, 0.5293, 0.6259, 0.5797, 0.5808, 0.5491, 0.6161]",BoundedMixGauss-0-Dropout(0.7875615549323156),0.001,9.74,1.0,"[175, 172, 177, 175, 170, 180, 170, 160, 174, 170]",0.01,10,0.5
timestamp,mean_perf,perf,e,d,nm,norm,bs,lr,num_clients,client_rate
2025-03-02 17:18,0.4553,"[0.0931, 0.0991, 0.1394, 0.2319, 0.1616, 0.2694, 0.299, 0.1871, 0.3306, 0.3464, 0.3228, 0.4033, 0.4364, 0.4518, 0.4778]",ThreeLevels-0-Ours,0.001,9.74,1.0,"[-692, -692, -692, -692, -692, -692, -692, -610, -670, -666]",0.01,10,0.5
