perf,Performance,e,d,nm,norm,bs,seed
"[0.685, 0.7126, 0.7244, 0.7323, 0.7362, 0.7402, 0.7402, 0.7323, 0.7323, 0.7283, 0.7283, 0.7362, 0.7362, 0.7283, 0.7441]",0.7362,PrivacyFree,,,,16,42
"[0.626, 0.6378, 0.6614, 0.685, 0.7205, 0.7244, 0.7283, 0.7362, 0.7244, 0.7205, 0.7205, 0.7205, 0.7205, 0.7283, 0.7362]",0.7283,ThreeLevels-0-Ours,0.0001,13.32,1.0,13,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,78,42
"[0.6063, 0.6299, 0.6299, 0.6378, 0.6496, 0.6378, 0.6614, 0.685, 0.6969, 0.7047, 0.7047, 0.7087, 0.7126, 0.7205, 0.7205]",0.7179,ThreeLevels-0-Dropout,0.0001,13.32,1.0,3,42
"[0.6181, 0.6299, 0.6457, 0.6732, 0.7047, 0.7047, 0.7126, 0.7205, 0.7244, 0.7165, 0.7244, 0.7244, 0.7165, 0.7165, 0.7323]",0.7218,BoundedPareto-0-Ours,0.0001,13.32,1.0,6,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,78,42
"[0.5906, 0.6024, 0.6024, 0.6299, 0.6299, 0.6339, 0.6457, 0.6732, 0.6732, 0.6575, 0.6811, 0.6811, 0.6693, 0.689, 0.7087]",0.689,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,42
"[0.622, 0.6457, 0.6614, 0.7087, 0.7205, 0.7283, 0.7362, 0.7441, 0.7441, 0.7323, 0.7402, 0.7362, 0.7402, 0.7323, 0.7402]",0.7376,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,13,42
"[0.5906, 0.6024, 0.5984, 0.6181, 0.6378, 0.6339, 0.6378, 0.6614, 0.6654, 0.6417, 0.6693, 0.6693, 0.6654, 0.6654, 0.689]",0.6733,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,78,42
"[0.5906, 0.6102, 0.626, 0.6378, 0.6535, 0.6535, 0.6693, 0.6969, 0.7047, 0.6929, 0.7126, 0.7244, 0.7244, 0.7165, 0.7047]",0.7152,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,3,42
"[0.6969, 0.7283, 0.7283, 0.7323, 0.7441, 0.7441, 0.7441, 0.7402, 0.748, 0.748, 0.7441, 0.752, 0.752, 0.752, 0.752]",0.752,PrivacyFree,,,,16,43
"[0.6535, 0.689, 0.7047, 0.7205, 0.7244, 0.7323, 0.7244, 0.7323, 0.7323, 0.7362, 0.7402, 0.7362, 0.7402, 0.7441, 0.7362]",0.7402,ThreeLevels-0-Ours,0.0001,13.32,1.0,13,43
"[0.6063, 0.6102, 0.6142, 0.6181, 0.6339, 0.6378, 0.6417, 0.626, 0.626, 0.6496, 0.6339, 0.6496, 0.6654, 0.6693, 0.6575]",0.6641,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,78,43
"[0.626, 0.6457, 0.6535, 0.6654, 0.685, 0.6811, 0.6929, 0.7205, 0.7165, 0.7165, 0.7087, 0.7165, 0.7205, 0.7165, 0.7244]",0.7205,ThreeLevels-0-Dropout,0.0001,13.32,1.0,3,43
"[0.6496, 0.6496, 0.6614, 0.6811, 0.685, 0.6969, 0.6969, 0.7283, 0.7283, 0.7244, 0.7244, 0.7165, 0.7165, 0.7165, 0.7244]",0.7191,BoundedPareto-0-Ours,0.0001,13.32,1.0,12,43
"[0.6063, 0.6102, 0.6142, 0.6181, 0.6339, 0.6378, 0.6417, 0.626, 0.626, 0.6496, 0.6339, 0.6496, 0.6654, 0.6693, 0.6575]",0.6641,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,78,43
"[0.6063, 0.626, 0.6142, 0.6339, 0.6457, 0.6535, 0.6535, 0.6614, 0.6457, 0.6732, 0.685, 0.6929, 0.7008, 0.7008, 0.6969]",0.6995,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,43
"[0.6535, 0.6575, 0.6811, 0.7165, 0.7244, 0.7283, 0.7205, 0.7323, 0.7362, 0.7323, 0.7323, 0.7402, 0.7441, 0.752, 0.752]",0.7494,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,13,43
"[0.6063, 0.6102, 0.6142, 0.6181, 0.6339, 0.6378, 0.6417, 0.626, 0.626, 0.6496, 0.6339, 0.6496, 0.6654, 0.6693, 0.6575]",0.6641,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,78,43
"[0.622, 0.6378, 0.6457, 0.6457, 0.6732, 0.6732, 0.6732, 0.689, 0.7126, 0.7087, 0.7087, 0.7165, 0.7283, 0.7205, 0.7283]",0.7257,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,3,43
"[0.626, 0.7126, 0.7323, 0.752, 0.748, 0.752, 0.752, 0.748, 0.748, 0.752, 0.748, 0.7323, 0.7362, 0.7402, 0.748]",0.7415,PrivacyFree,,,,16,44
"[0.5197, 0.5512, 0.6063, 0.6457, 0.6535, 0.6929, 0.6969, 0.7126, 0.7205, 0.7244, 0.7362, 0.7323, 0.7244, 0.7283, 0.7283]",0.727,ThreeLevels-0-Ours,0.0001,13.32,1.0,13,44
"[0.4173, 0.4409, 0.4488, 0.4173, 0.4291, 0.4134, 0.4252, 0.4213, 0.4291, 0.4055, 0.437, 0.4528, 0.5276, 0.5433, 0.5118]",0.5276,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,78,44
"[0.4409, 0.4764, 0.4921, 0.4882, 0.4961, 0.5, 0.5669, 0.5906, 0.5787, 0.5945, 0.6299, 0.6457, 0.6457, 0.6535, 0.6535]",0.6509,ThreeLevels-0-Dropout,0.0001,13.32,1.0,3,44
"[0.4567, 0.5, 0.5079, 0.5315, 0.5512, 0.5709, 0.6181, 0.6457, 0.6457, 0.6772, 0.6772, 0.6772, 0.6811, 0.6772, 0.6929]",0.6837,BoundedPareto-0-Ours,0.0001,13.32,1.0,4,44
"[0.4173, 0.4409, 0.4488, 0.4173, 0.4291, 0.4134, 0.4252, 0.4213, 0.4291, 0.4055, 0.437, 0.4528, 0.5276, 0.5433, 0.5118]",0.5276,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,78,44
"[0.4291, 0.4528, 0.4646, 0.4331, 0.4409, 0.4331, 0.4409, 0.4331, 0.4488, 0.4409, 0.4724, 0.4764, 0.5591, 0.5787, 0.5669]",0.5682,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,44
"[0.4961, 0.5394, 0.5984, 0.6181, 0.6575, 0.7047, 0.6929, 0.7047, 0.7165, 0.7205, 0.7165, 0.7126, 0.7362, 0.7323, 0.7402]",0.7362,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,13,44
"[0.4173, 0.4409, 0.4488, 0.4173, 0.4291, 0.4134, 0.4252, 0.4213, 0.4291, 0.4055, 0.437, 0.4528, 0.5276, 0.5433, 0.5118]",0.5276,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,78,44
"[0.4449, 0.4685, 0.4921, 0.4685, 0.4803, 0.4685, 0.5315, 0.5433, 0.5709, 0.6063, 0.622, 0.6575, 0.6693, 0.6732, 0.6772]",0.6732,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,4,44
"[0.5866, 0.7008, 0.7244, 0.7362, 0.752, 0.7441, 0.7441, 0.7441, 0.7441, 0.7402, 0.7402, 0.7402, 0.748, 0.7362, 0.7362]",0.7401,PrivacyFree,,,,16,45
"[0.4528, 0.5472, 0.6102, 0.6181, 0.6654, 0.6929, 0.6929, 0.7047, 0.7205, 0.7402, 0.7362, 0.7402, 0.7362, 0.7402, 0.752]",0.7428,ThreeLevels-0-Ours,0.0001,13.32,1.0,13,45
"[0.4291, 0.4528, 0.4567, 0.4606, 0.4882, 0.5079, 0.5079, 0.5079, 0.5276, 0.5472, 0.5591, 0.5512, 0.5591, 0.5787, 0.6063]",0.5814,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,78,45
"[0.437, 0.4803, 0.4961, 0.5039, 0.5394, 0.563, 0.5827, 0.6024, 0.626, 0.6299, 0.6299, 0.6378, 0.6496, 0.6732, 0.6772]",0.6667,ThreeLevels-0-Dropout,0.0001,13.32,1.0,3,45
"[0.4488, 0.4961, 0.5118, 0.5315, 0.5472, 0.5945, 0.5945, 0.6181, 0.6339, 0.6614, 0.6496, 0.6693, 0.6654, 0.689, 0.7087]",0.6877,BoundedPareto-0-Ours,0.0001,13.32,1.0,5,45
"[0.4331, 0.4528, 0.4567, 0.4606, 0.4882, 0.5079, 0.5039, 0.5197, 0.5354, 0.5551, 0.563, 0.5551, 0.563, 0.5984, 0.6063]",0.5892,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,78,45
