perf,Performance,e,d,nm,norm,bs,seed
"[0.4449, 0.4291, 0.4331, 0.4528, 0.4488, 0.4449, 0.4606, 0.4685, 0.4803, 0.5157, 0.5157, 0.5394, 0.5551, 0.5787, 0.5906]",0.5748,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,45
"[0.4646, 0.4764, 0.4921, 0.563, 0.5945, 0.626, 0.6496, 0.6772, 0.6811, 0.6969, 0.7087, 0.7087, 0.7244, 0.7283, 0.7323]",0.7283,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,14,45
"[0.4409, 0.4291, 0.4331, 0.4528, 0.4409, 0.437, 0.4646, 0.4685, 0.4764, 0.5, 0.5, 0.5354, 0.5433, 0.563, 0.5787]",0.5617,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,87,45
"[0.4409, 0.437, 0.4567, 0.4528, 0.4528, 0.4646, 0.4843, 0.5039, 0.5433, 0.5669, 0.5945, 0.6024, 0.6063, 0.6181, 0.6299]",0.6181,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,3,45
"[0.6693, 0.7008, 0.7402, 0.7362, 0.748, 0.752, 0.7441, 0.748, 0.752, 0.748, 0.748, 0.7441, 0.7441, 0.7362, 0.7283]",0.7362,PrivacyFree,,,,16,46
"[0.5709, 0.626, 0.6772, 0.7008, 0.7008, 0.7244, 0.7165, 0.7244, 0.7402, 0.7441, 0.7362, 0.7362, 0.7244, 0.7283, 0.752]",0.7349,ThreeLevels-0-Ours,0.0001,13.32,1.0,12,46
"[0.5394, 0.5433, 0.5433, 0.5472, 0.5472, 0.5748, 0.5709, 0.5787, 0.5945, 0.5984, 0.5787, 0.5945, 0.6024, 0.6181, 0.626]",0.6155,ThreeLevels-0-StrongForAll,0.0001,13.32,1.0,87,46
"[0.5433, 0.5591, 0.5591, 0.5984, 0.5984, 0.626, 0.6457, 0.6417, 0.6732, 0.6772, 0.6811, 0.6811, 0.685, 0.685, 0.6969]",0.689,ThreeLevels-0-Dropout,0.0001,13.32,1.0,3,46
"[0.5512, 0.5669, 0.5787, 0.6181, 0.622, 0.6457, 0.6417, 0.6457, 0.6575, 0.6693, 0.6693, 0.6772, 0.6732, 0.6969, 0.7008]",0.6903,BoundedPareto-0-Ours,0.0001,13.32,1.0,6,46
"[0.5394, 0.5433, 0.5433, 0.5472, 0.5472, 0.5748, 0.5709, 0.5787, 0.5945, 0.5984, 0.5787, 0.5945, 0.6024, 0.6181, 0.626]",0.6155,BoundedPareto-0-StrongForAll,0.0001,13.32,1.0,87,46
"[0.5394, 0.5472, 0.5472, 0.5472, 0.5472, 0.5709, 0.5748, 0.5827, 0.5945, 0.6024, 0.5787, 0.5984, 0.6063, 0.6181, 0.6299]",0.6181,BoundedPareto-0-Dropout,0.0001,13.32,1.0,2,46
"[0.5591, 0.6102, 0.6496, 0.6732, 0.6811, 0.7087, 0.7047, 0.7283, 0.7165, 0.7205, 0.7244, 0.7244, 0.7126, 0.7126, 0.7165]",0.7139,BoundedMixGauss-0-Ours,0.0001,13.32,1.0,14,46
"[0.5394, 0.5433, 0.5433, 0.5472, 0.5472, 0.5748, 0.5709, 0.5787, 0.5945, 0.5984, 0.5787, 0.5945, 0.6024, 0.6181, 0.626]",0.6155,BoundedMixGauss-0-StrongForAll,0.0001,13.32,1.0,87,46
"[0.5394, 0.5551, 0.5551, 0.5709, 0.5827, 0.6102, 0.626, 0.6417, 0.6496, 0.6496, 0.6496, 0.6535, 0.6457, 0.6535, 0.6654]",0.6549,BoundedMixGauss-0-Dropout,0.0001,13.32,1.0,2,46
